2020-01-10-15-23-28-775

- ИТОГИ -
Пилот  Место  Кругов  Лучший круг  Сумм. время
Pilot1  1  10  3.04  01:15.15  

- Все круги -
Круг#  Pilot1(круг)  (сумма)  
1  6.69  00:06.69
2  19.56  00:26.24
3  16.33  00:42.56
4  4.77  00:47.33
5  4.71  00:52.04
6  5.51  00:57.54
7  4.57  01:02.11
8  3.04  01:05.14
9  4.64  01:09.78
10  5.37  01:15.15
